event_id,label,start_timestamp,duration,utm_x,utm_y,elevation,utm_zone,file_ids,file_start_time_offsets,tdoas,distance_residuals,residual_rms,mean_cc_max,hawkears_confirmed
OKLG8_WEML_0010,Western Meadowlark,2025-06-16 12:07:43.500000+00:00,3.0,306247.9983031403,5466521.097714411,677.6169315093416,11U,"[""OKLG-8-F4_20250616_120000"", ""OKLG-8-G3_20250616_120000"", ""OKLG-8-G5_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-F5_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-E5_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-F3_20250616_120000""]","[231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0]","[0.0, -0.007470674868082172, 0.12896682513191787, 0.045445991798584495, 0.10202932513191781, 0.02911265846525113, 0.11848765846525117, -0.029033174868082157, -0.10792900820141549]","[0.0, 0.11441228916833493, -0.1129012555328488, -0.6946283637190572, -0.9663787851052823, -0.13367894348443765, -0.48512020801655537, 0.12240254551406571, 0.42621784488659176]",0.4585107651715065,0.1507699319885836,True
OKLG8_WEML_0011,Western Meadowlark,2025-06-16 12:08:10+00:00,3.0,306247.87948791723,5466520.772936883,676.6953594589023,11U,"[""OKLG-8-E3_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-D3_20250616_120000""]","[244.5, 244.5, 244.5, 244.5, 244.5, 244.5, 244.5, 244.5]","[0.0, 0.029091825131917826, -0.07888734153474886, 0.05813349179858451, 0.002654325131917823, 0.03698765846525115, 0.12748765846525117, 0.10140432513191783]","[0.0, -0.4381888430578508, 0.24356087845293675, -0.5093927557399436, 0.3896104080846322, -0.15923500408814192, -1.1138186154496545, -0.6123021651119163]",0.53659461530927,0.2206193632446229,True
OKLG8_WEML_0012,Western Meadowlark,2025-06-16 12:08:13.500000+00:00,3.0,306206.5015912164,5466541.365026421,681.6767414531695,11U,"[""OKLG-8-D1_20250616_120000"", ""OKLG-8-C2_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-C1_20250616_120000"", ""OKLG-8-E1_20250616_120000""]","[246.0, 246.0, 246.0, 246.0, 246.0, 246.0]","[0.0, 0.029341825131917798, -0.0679081748680822, -0.15626234153474886, 0.07184182513191784, 0.06732099179858447]","[0.0, -3.716314776824893, -4.140262832544363, 13.198073911675092, -4.618948100015458, -30.337470995330833]",13.825331549756832,0.1788602862507105,True
OKLG8_WEML_0013,Western Meadowlark,2025-06-16 12:08:31.500000+00:00,3.0,306247.7953778297,5466520.807200005,676.8563181314303,11U,"[""OKLG-8-E3_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-D3_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[255.0, 255.0, 255.0, 255.0, 255.0, 255.0, 255.0, 255.0]","[0.0, 0.03694599179858449, 0.12746682513191782, 0.03017515846525115, 0.10244599179858449, 0.05819599179858448, -0.0788456748680822, 0.002633491798584464]","[0.0, -0.18024169080712482, -1.1450239314273956, -0.6674923493942717, -0.9899687398837144, -0.4594065260017425, 0.36933316399393346, 0.4191616646973955]",0.6415127489383926,0.2159961215220391,True
OKLG8_WEML_0014,Western Meadowlark,2025-06-16 12:08:34+00:00,3.0,306248.03556085203,5466520.76096337,676.1531277794248,11U,"[""OKLG-8-E2_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-D3_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-F3_20250616_120000""]","[256.5, 256.5, 256.5, 256.5, 256.5, 256.5, 256.5, 256.5, 256.5]","[0.0, -0.036929008201415536, -0.03430400820141549, 0.15623765846525112, 0.06452932513191784, 0.09263349179858449, 0.07530015846525118, 0.0905293251319178, -0.11580400820141551]","[0.0, 0.07530461936311426, 0.426434394178133, -0.7880788468088832, -0.5206325540738997, -1.0493587389608092, -0.6541320922825871, -0.954438266770891, 0.1505794457551678]",0.6273677581001608,0.1951809463401635,True
OKLG8_WEML_0015,Western Meadowlark,2025-06-16 12:10:40+00:00,3.0,306246.04158737033,5466518.012017177,674.7091332140259,11U,"[""OKLG-8-D3_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-D4_20250616_120000""]","[319.5, 319.5, 319.5, 319.5, 319.5]","[0.0, -0.0482831748680822, -0.05530400820141551, -0.10388734153474882, 0.025675158465251147]","[0.0, -0.022485126379064548, 0.06193268378520473, 0.9862600858937411, -0.12790637636095628]",0.4457376439947699,0.2094060886651277,True
OKLG8_WEML_0016,Western Meadowlark,2025-06-16 12:12:34+00:00,3.0,306247.7713565436,5466520.955280676,676.5877115827896,11U,"[""OKLG-8-E2_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-D3_20250616_120000""]","[376.5, 376.5, 376.5, 376.5, 376.5, 376.5, 376.5, 376.5, 376.5]","[0.0, 0.09111265846525113, -0.1141165082014155, -0.033679008201415506, 0.0762168251319178, -0.03651234153474886, 0.15598765846525114, 0.08880015846525113, 0.06565432513191782]","[0.0, -0.5037623473435823, 0.19868052467037145, 0.3674962094510027, -0.8378803420401008, 0.10237496035126423, -0.7088069424802018, -0.3452618540312679, -0.7996193304124581]",0.5165948466917154,0.1626168878542052,True
OKLG8_WEML_0017,Western Meadowlark,2025-06-16 12:12:37.500000+00:00,3.0,306247.6381504073,5466520.86286168,678.0886570425553,11U,"[""OKLG-8-G3_20250616_120000"", ""OKLG-8-G2_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-F3_20250616_120000""]","[378.0, 378.0, 378.0, 378.0, 378.0, 378.0]","[0.0, 0.036466825131917846, 0.006341825131917833, 0.05117515846525117, -0.021137341534748832, -0.10159567486808219]","[0.0, -0.6361591100627173, -0.1870296654845238, -0.4125065245694705, 0.3058045582284448, 0.41931825574878195]",0.3827933231168223,0.2430964602778355,True
OKLG8_WEML_0018,Western Meadowlark,2025-06-16 12:13:01.500000+00:00,3.0,306247.7999704606,5466521.306065325,677.7517250391405,11U,"[""OKLG-8-F4_20250616_120000"", ""OKLG-8-G3_20250616_120000"", ""OKLG-8-E5_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-G5_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-F5_20250616_120000"", ""OKLG-8-F3_20250616_120000""]","[390.0, 390.0, 390.0, 390.0, 390.0, 390.0, 390.0, 390.0, 390.0]","[0.0, -0.007283174868082165, 0.11948765846525117, -0.030324841534748848, 0.0449668251319178, 0.13088349179858444, 0.028070991798584466, 0.10123765846525118, -0.10882484153474886]","[0.0, 0.021371701640211932, -0.9372173095888274, 0.17302239158032218, -0.4686208734855825, -0.7254853721964287, 0.04332579225585909, -0.6956015218275284, 0.7857080838642679]",0.553552178193258,0.1515093197425206,True
OKLG8_WEML_0019,Western Meadowlark,2025-06-16 12:13:52+00:00,3.0,306223.6545532132,5466381.965723415,647.2330491471778,11U,"[""OKLG-8-D7_20250616_120000"", ""OKLG-8-E6_20250616_120000"", ""OKLG-8-C6_20250616_120000"", ""OKLG-8-D6_20250616_120000""]","[415.5, 415.5, 415.5, 415.5]","[0.0, -0.02957484153474882, 0.11690432513191784, 0.033279325131917836]","[0.0, -0.031082711568324563, -0.21472942685386046, 0.18139267462505526]",0.1414020545493047,0.2753869420848787,True
