file_id,relative_path,point_id,start_timestamp
OKLG-8-D6_20250615_110000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250615_110000_synced.WAV,OKLG-8-D6,2025-06-15T11:00:00+00:00
OKLG-8-D6_20250613_153000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250613_153000_synced.WAV,OKLG-8-D6,2025-06-13T15:30:00+00:00
OKLG-8-D6_20250614_130000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250614_130000_synced.WAV,OKLG-8-D6,2025-06-14T13:00:00+00:00
OKLG-8-D6_20250616_143000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250616_143000_synced.WAV,OKLG-8-D6,2025-06-16T14:30:00+00:00
OKLG-8-D6_20250611_120000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250611_120000_synced.WAV,OKLG-8-D6,2025-06-11T12:00:00+00:00
OKLG-8-D6_20250614_153000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250614_153000_synced.WAV,OKLG-8-D6,2025-06-14T15:30:00+00:00
OKLG-8-D6_20250613_130000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250613_130000_synced.WAV,OKLG-8-D6,2025-06-13T13:00:00+00:00
OKLG-8-D6_20250611_143000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250611_143000_synced.WAV,OKLG-8-D6,2025-06-11T14:30:00+00:00
OKLG-8-D6_20250616_120000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250616_120000_synced.WAV,OKLG-8-D6,2025-06-16T12:00:00+00:00
OKLG-8-D6_20250613_140000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250613_140000_synced.WAV,OKLG-8-D6,2025-06-13T14:00:00+00:00
OKLG-8-D6_20250616_150000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250616_150000_synced.WAV,OKLG-8-D6,2025-06-16T15:00:00+00:00
OKLG-8-D6_20250612_110000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250612_110000_synced.WAV,OKLG-8-D6,2025-06-12T11:00:00+00:00
OKLG-8-D6_20250611_133000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250611_133000_synced.WAV,OKLG-8-D6,2025-06-11T13:30:00+00:00
OKLG-8-D6_20250614_180000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250614_180000_synced.WAV,OKLG-8-D6,2025-06-14T18:00:00+00:00
OKLG-8-D6_20250615_173000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250615_173000_synced.WAV,OKLG-8-D6,2025-06-15T17:30:00+00:00
OKLG-8-D6_20250612_180000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250612_180000_synced.WAV,OKLG-8-D6,2025-06-12T18:00:00+00:00
OKLG-8-D6_20250613_173000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250613_173000_synced.WAV,OKLG-8-D6,2025-06-13T17:30:00+00:00
OKLG-8-D6_20250614_110000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250614_110000_synced.WAV,OKLG-8-D6,2025-06-14T11:00:00+00:00
OKLG-8-D6_20250612_123000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250612_123000_synced.WAV,OKLG-8-D6,2025-06-12T12:30:00+00:00
OKLG-8-D6_20250615_130000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250615_130000_synced.WAV,OKLG-8-D6,2025-06-15T13:00:00+00:00
OKLG-8-D6_20250611_170000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250611_170000_synced.WAV,OKLG-8-D6,2025-06-11T17:00:00+00:00
OKLG-8-D6_20250612_153000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250612_153000_synced.WAV,OKLG-8-D6,2025-06-12T15:30:00+00:00
OKLG-8-D6_20250616_113000,OKLG-8-Sync/OKLG-8-D6/OKLG-8-D6_20250616_113000_synced.WAV,OKLG-8-D6,2025-06-16T11:30:00+00:00
OKLG-8-C1_20250612_130000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250612_130000_synced.WAV,OKLG-8-C1,2025-06-12T13:00:00+00:00
OKLG-8-C1_20250615_153000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250615_153000_synced.WAV,OKLG-8-C1,2025-06-15T15:30:00+00:00
OKLG-8-C1_20250611_113000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250611_113000_synced.WAV,OKLG-8-C1,2025-06-11T11:30:00+00:00
OKLG-8-C1_20250611_163000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250611_163000_synced.WAV,OKLG-8-C1,2025-06-11T16:30:00+00:00
OKLG-8-C1_20250615_123000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250615_123000_synced.WAV,OKLG-8-C1,2025-06-15T12:30:00+00:00
OKLG-8-C1_20250612_140000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250612_140000_synced.WAV,OKLG-8-C1,2025-06-12T14:00:00+00:00
OKLG-8-C1_20250615_180000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250615_180000_synced.WAV,OKLG-8-C1,2025-06-15T18:00:00+00:00
OKLG-8-C1_20250614_173000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250614_173000_synced.WAV,OKLG-8-C1,2025-06-14T17:30:00+00:00
OKLG-8-C1_20250613_110000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250613_110000_synced.WAV,OKLG-8-C1,2025-06-13T11:00:00+00:00
OKLG-8-C1_20250611_150000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250611_150000_synced.WAV,OKLG-8-C1,2025-06-11T15:00:00+00:00
OKLG-8-C1_20250615_110000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250615_110000_synced.WAV,OKLG-8-C1,2025-06-15T11:00:00+00:00
OKLG-8-C1_20250613_180000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250613_180000_synced.WAV,OKLG-8-C1,2025-06-13T18:00:00+00:00
OKLG-8-C1_20250616_133000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250616_133000_synced.WAV,OKLG-8-C1,2025-06-16T13:30:00+00:00
OKLG-8-C1_20250614_140000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250614_140000_synced.WAV,OKLG-8-C1,2025-06-14T14:00:00+00:00
OKLG-8-C1_20250613_123000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250613_123000_synced.WAV,OKLG-8-C1,2025-06-13T12:30:00+00:00
OKLG-8-C1_20250616_143000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250616_143000_synced.WAV,OKLG-8-C1,2025-06-16T14:30:00+00:00
OKLG-8-C1_20250613_153000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250613_153000_synced.WAV,OKLG-8-C1,2025-06-13T15:30:00+00:00
OKLG-8-C1_20250611_183000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250611_183000_synced.WAV,OKLG-8-C1,2025-06-11T18:30:00+00:00
OKLG-8-C1_20250614_130000,OKLG-8-Sync/OKLG-8-C1/OKLG-8-C1_20250614_130000_synced.WAV,OKLG-8-C1,2025-06-14T13:00:00+00:00
